"OGU","domain","phylum","class","order","family","genus","species","UNITN","UHGG","PATH","WIS","cov_All"
"G000012845","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_distasonis",TRUE,TRUE,TRUE,TRUE,0.927407090565927
"G000012945","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_lata",FALSE,FALSE,TRUE,FALSE,0.388722081039685
"G000013145","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Ehrlichia","Ehrlichia_chaffeensis",FALSE,FALSE,TRUE,FALSE,0.00211009923077446
"G000013165","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Neorickettsia","Neorickettsia_sennetsu",FALSE,FALSE,TRUE,FALSE,0.00163793966514786
"G000013285","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_perfringens",TRUE,FALSE,TRUE,TRUE,0.752362756829572
"G000013425","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_aureus",TRUE,TRUE,TRUE,TRUE,0.842872641962514
"G000013905","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter","Psychrobacter_cryohalolentis",FALSE,FALSE,FALSE,TRUE,0.0235334558483282
"G000014025","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Arcobacteraceae","Aliarcobacter","Aliarcobacter_butzleri",FALSE,TRUE,FALSE,FALSE,0.020831598149878
"G000014285","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Granulibacter","Granulibacter_bethesdensis",FALSE,FALSE,TRUE,FALSE,0.00736883379842374
"G000014425","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gasseri",TRUE,TRUE,TRUE,TRUE,0.982538693806879
"G000014445","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc_mesenteroides",TRUE,TRUE,TRUE,TRUE,0.23820746195532
"G000014505","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus_pentosaceus",TRUE,TRUE,FALSE,FALSE,0.0221688977273906
"G000014645","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella","Francisella_tularensis",FALSE,FALSE,TRUE,FALSE,0.00333240664680311
"G000014805","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas_hydrophila",TRUE,TRUE,TRUE,TRUE,0.0750110444882102
"G000015445","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bartonellaceae","Bartonella","Bartonella_bacilliformis",FALSE,FALSE,TRUE,FALSE,0.00537985261113852
"G000016625","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_massiliae",FALSE,FALSE,TRUE,FALSE,0.00321972614525172
"G000017425","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_cytotoxicus",FALSE,FALSE,TRUE,FALSE,0.018653312422344
"G000017445","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_rickettsii",FALSE,FALSE,TRUE,FALSE,0.00317063304633887
"G000017585","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_hominis",TRUE,FALSE,FALSE,FALSE,0.871900457791998
"G000018045","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter_koseri",TRUE,FALSE,TRUE,FALSE,0.124132570088632
"G000018205","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_akari",FALSE,FALSE,TRUE,FALSE,0.00316800155963154
"G000018525","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella","Brucella_canis",FALSE,FALSE,TRUE,FALSE,0.016825701848201
"G000019205","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_lari",FALSE,FALSE,TRUE,FALSE,0.00983978300940204
"G000019345","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma_parvum",TRUE,TRUE,FALSE,FALSE,0.534741558564228
"G000019705","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Borreliaceae","Borrelia","Borrelia_recurrentis",FALSE,FALSE,TRUE,FALSE,0.000785637642346513
"G000020225","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_muciniphila",TRUE,TRUE,FALSE,TRUE,0.928039542029547
"G000020425","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_longum",TRUE,FALSE,FALSE,TRUE,0.511421771368297
"G000021265","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma","Ureaplasma_urealyticum",FALSE,FALSE,TRUE,FALSE,0.206113818758162
"G000021925","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptococcaceae","Desulfitobacterium","Desulfitobacterium_hafniense",FALSE,TRUE,FALSE,FALSE,0.00281106711820537
"G000022905","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_aurimucosum",TRUE,FALSE,TRUE,TRUE,0.161420110199678
"G000022965","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_animalis",TRUE,TRUE,FALSE,TRUE,0.0310160058148563
"G000023005","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_africae",FALSE,FALSE,TRUE,FALSE,0.00299859714300543
"G000023145","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_kroppenstedtii",FALSE,FALSE,TRUE,FALSE,0.575962357426259
"G000023205","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus_luteus",TRUE,TRUE,TRUE,FALSE,0.821169670748476
"G000023285","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga_ochracea",TRUE,TRUE,TRUE,TRUE,0.890025546083412
"G000023845","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium","Cryptobacterium_curtum",TRUE,FALSE,FALSE,FALSE,0.892802836437541
"G000023865","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Saccharomonospora","Saccharomonospora_viridis",FALSE,FALSE,TRUE,FALSE,0.00546868417577128
"G000023905","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_buccalis",TRUE,FALSE,TRUE,TRUE,0.916664841560506
"G000023925","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Kytococcaceae","Kytococcus","Kytococcus_sedentarius",FALSE,FALSE,TRUE,FALSE,0.314606624574869
"G000024105","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus_prevotii",FALSE,TRUE,FALSE,FALSE,0.213109028930985
"G000024225","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella_parvula",FALSE,TRUE,FALSE,FALSE,0.936134421121838
"G000024265","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella_lenta",TRUE,TRUE,TRUE,TRUE,0.661214505569535
"G000024405","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sebaldella","Sebaldella_termitidis",FALSE,FALSE,TRUE,FALSE,0.00415272728893683
"G000024565","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus","Streptobacillus_moniliformis",FALSE,FALSE,TRUE,FALSE,0.0420761369748401
"G000024785","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Gordoniaceae","Gordonia","Gordonia_bronchialis",TRUE,FALSE,TRUE,FALSE,0.0351389178742208
"G000024945","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella_parvula",TRUE,TRUE,TRUE,TRUE,0.981327697686177
"G000025225","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Mageeibacillus","Mageeibacillus_indolicus",TRUE,FALSE,FALSE,FALSE,0.25493246013529
"G000025305","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus_fermentans",TRUE,TRUE,TRUE,FALSE,0.014355500480949
"G000025565","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter_cloacae",TRUE,TRUE,TRUE,TRUE,0.327963883921587
"G000025925","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_ruminicola",FALSE,FALSE,TRUE,FALSE,0.00890743872388874
"G000025985","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis",TRUE,TRUE,TRUE,TRUE,0.975327945788787
"G000026225","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_fergusonii",FALSE,TRUE,TRUE,TRUE,0.535554420968151
"G000026745","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_suis",FALSE,FALSE,TRUE,FALSE,0.0930893649796299
