domain,phylum,class-order,family,species,reference
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides intestinalis,"(Bakir et al., 2005)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides massiliensis,"(Walker et al., 2011)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides nordii,"(Song et al., 2004)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides oleiciplenus,"(Watanabe et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides ovatus,"(Eggerth & Gagnon, 1933)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides plebeius,"(Kitahara et al., 2005)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides pyogenes,"(Macfarlane et al., 2004; Sakamoto et al., 2010)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides salyersiae,"(Song et al., 2004)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides stercoris,"(Johnson et al., 1986)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides thetaiotaomicron,"(Distaso, 1912)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides timonensis,"(Pfleiderer et al., 2013)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides uniformis,"(Eggerth & Gagnon, 1933)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides vulgatus,"(Eggerth & Gagnon, 1933)"
Bacteria,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides xylanisolvens,"(Chassard et al., 2008)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Barnesiella intestinihominis,"(Morotomi et al., 2008)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Butyricimonas synergistica,"(Li et al., 2008)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Butyricimonas virosa,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Dysgonomonas gadei,"(Zitomersky et al., 2013)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Odoribacter laneus,"(Nagai et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Odoribacter splanchnicus,"(Werner et al., 1975; Hardham et al., 2008)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides distasonis,"(Eggerth & Gagnon, 1933; Sakamoto & Benno, 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides goldsteinii,"(Song et al., 2005; Sakamoto & Benno, 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides gordonii,"(Ley et al., 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides johnsonii,"(Sakamoto et al., 2007)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides merdae,"(Johnson et al., 1986; Sakamoto & Benno, 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Porphyromonas asaccharolytica,"(Finegold et al., 1993)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Porphyromonas endodontalis,"(Walker et al., 2011)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Porphyromonas gingivalis,"(Bik et al., 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Porphyromonas somerae,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Porphyromonas uenonis,"(Finegold et al., 2004)"
Bacteria,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Tannerella forsythia,"(Macfarlane et al., 2004)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Alloprevotella tannerae,"(Walker et al., 2011)"
