gIDs,start,stop,length
G000724805,1942194,1942592,399
G000724805,3425197,3425379,183
G000724805,5278222,5278746,525
G000724815,16218,16405,188
G000724815,23000,23382,383
G000724815,25355,25890,536
G000724815,939360,939701,342
G000724815,2294078,2294656,579
G000724815,2750000,2750365,366
G000724815,2752743,2752963,221
G000724815,2767516,2768239,724
G000728205,771266,773162,1897
G000729665,2033747,2034279,533
G000729665,2034851,2035379,529
G000737225,4563543,4563768,226
G000737225,4565087,4565261,175
G000737235,20,393,374
G000737235,189422,189720,299
G000737235,190674,190810,137
G000737235,366545,366776,232
G000737235,1026304,1026519,216
G000739015,1257733,1259564,1832
G000750065,1189130,1189322,193
G000754095,3318747,3318999,253
G000754095,3320733,3320999,267
G000754095,3321242,3321466,225
G000756665,4131814,4132846,1033
G000758165,472041,472179,139
G000758485,2804894,2805292,399
G000758485,2873495,2874294,800
G000758485,2908843,2909238,396
G000758485,2968612,2968896,285
G000758485,3006000,3006402,403
G000759615,7240755,7240999,245
G000759615,7256627,7256832,206
G000759615,7257000,7257206,207
G000759615,7272226,7272747,522
G000759615,7275318,7275631,314
G000759615,7295548,7295970,423
G000759615,7308706,7308888,183
G000759615,7341699,7341995,297
G000759615,7342693,7342865,173
G000759615,7349537,7349653,117
G000759615,7354531,7354703,173
G000764225,1608457,1608987,531
G000764405,57418,58545,1128
G000773055,1475293,1475552,260
G000773055,1632006,1632146,141
G000774145,643781,645185,1405
G000779175,4875634,4876134,501
G000779775,5511000,5511459,460
G000782735,48000,48607,608
G000784035,3455292,3455973,682
G000784155,3139409,3140276,868
G000784155,3141230,3141939,710
G000784195,3407482,3408649,1168
G000784195,3550799,3551456,658
G000788095,851470,851687,218
G000788095,851900,853678,1779
G000788095,854648,857282,2635
G000790525,5591883,5592561,679
G000790525,5665295,5665557,263
G000790525,5665768,5667302,1535
G000790605,6188349,6188970,622
G000798015,2040740,2040941,202
G000800685,3594004,3594443,440
G000800685,4110333,4110872,540
G000800685,4465604,4465981,378
G000801375,757000,757595,596
G000801405,834788,836260,1473
G000801405,836479,836592,114
G000801405,1353845,1354478,634
G000801455,1229377,1230375,999
G000801455,1230635,1232980,2346
G000801455,1234634,1235133,500
G000801475,1568000,1568999,1000
G000801475,1930485,1931271,787
G000801485,1509001,1509599,599
G000801515,2263452,2264699,1248
G000801515,2403753,2404557,805
G000801515,2405687,2405913,227
G000801515,2773286,2773860,575
G000801525,1220048,1221543,1496
G000801525,1771755,1772418,664
G000801525,2197350,2197873,524
G000802185,5950491,5951928,1438
G000802225,4004301,4004517,217
G000802685,2852302,2854441,2140
G000802685,2859871,2860781,911
G000802695,3859870,3860423,554
G000802715,2533160,2535430,2271
G000802715,2550862,2552453,1592
G000802765,1474028,1474556,529
G000802765,4890627,4894665,4039
G000802765,5455894,5456162,269
G000802765,5456325,5456999,675
G000802785,3624786,3628786,4001
G000802785,3985002,3985764,763
G000802785,4206361,4207120,760
G000802825,3776651,3777518,868
G000802825,3915000,3915515,516
G000802865,3320146,3321268,1123
G000802865,3606113,3606654,542
G000807535,4113000,4115141,2142
G000807535,4324656,4325839,1184
G000807915,36093,36999,907
G000807915,3840682,3840999,318
G000807915,3841258,3842259,1002
G000807915,3843135,3843371,237
G000807915,3843522,3843724,203
G000812025,463282,463683,402
G000813785,4482578,4482999,422
G000815345,3676327,3677432,1106
G000816565,3605832,3606732,901
G000816565,3607480,3607618,139
G000818695,451621,451927,307
G000819065,2156483,2156731,249
G000819065,2201443,2201697,255
G000819065,2256322,2256950,629
G000819065,2393062,2393309,248
G000819065,2395566,2395801,236
G000820085,2401796,2402403,608
G000820265,2669287,2669499,213
G000820265,4128700,4128924,225
G000825745,6299122,6300811,1690
G000825745,6301130,6301999,870
G000825745,6302306,6303545,1240
G000825745,6303829,6306377,2549
G000825745,6306636,6307802,1167
G000825745,6308061,6308574,514
G000825745,6308862,6309646,785
G000825745,6310000,6311818,1819
G000825745,6312112,6313463,1352
G000825745,6313758,6314290,533
G000825745,6317575,6317832,258
G000825745,6318023,6318553,531
G000825745,6320180,6320388,209
G000825745,6320777,6321425,649
G000825745,6321791,6327265,5475
G000825745,6327520,6330932,3413
G000825745,6331185,6332934,1750
G000825745,6333246,6333803,558
G000825745,6334114,6334669,556
G000825745,6336149,6340719,4571
G000825745,6341017,6341148,132
G000825745,6341301,6342134,834
G000825745,6342515,6342992,478
G000825745,6343587,6344375,789
G000825745,6345391,6345748,358
G000825745,6346017,6346476,460
G000825745,6346692,6346844,153
G000825745,6347000,6347937,938
G000825745,6348197,6350447,2251
G000825745,6350713,6351183,471
G000825745,6351452,6353161,1710
G000825745,6353424,6355348,1925
G000825745,6355852,6355999,148
G000825745,6356335,6356798,464
G000825745,6357072,6358498,1427
G000825745,6358750,6361383,2634
G000825745,6361631,6361860,230
G000825745,6362108,6362999,892
G000825745,6363315,6363522,208
G000825745,6364020,6364248,229
G000825745,6364497,6366116,1620
G000825745,6366621,6367342,722
G000825745,6367590,6367999,410
G000825745,6368330,6369276,947
G000825745,6369728,6369962,235
G000825745,6370148,6370382,235
G000825745,6370565,6371992,1428
G000825745,6372199,6372432,234
G000825745,6372639,6373803,1165
G000825925,5735023,5735134,112
G000829825,3526059,3526237,179
G000832065,1096642,1096919,278
G000832065,1989515,1989647,133
G000832075,5614,5916,303
G000832075,171349,171935,587
G000832075,617238,617783,546
G000832075,618633,619902,1270
G000832075,621367,621927,561
G000832075,2887390,2887999,610
G000832085,165124,165881,758
G000832085,1246565,1247224,660
G000832085,2432657,2433160,504
G000832085,2433489,2434407,919
G000832085,2594000,2594200,201
G000935285,5571476,5571708,233
G000951745,222800,222999,200
G000951745,223599,223732,134
G000951745,671181,671422,242
G000951755,1325120,1325254,135
G000953895,1096,1415,320
G000953895,3283,3432,150
G000955865,667553,668706,1154
G000955865,1081635,1082941,1307
G000955865,5351150,5351687,538
G000955865,5352314,5352999,686
G000955865,5821233,5824443,3211
G000955865,5830265,5831647,1383
G000955865,5833000,5833736,737
G000955865,5855364,5855948,585
G000955875,105671,106219,549
G000955875,106826,107693,868
G000955875,385857,386516,660
G000955875,4187079,4187644,566
G000955875,4251750,4252573,824
G000955875,4672000,4672603,604
G000955875,4825302,4825999,698
G000955875,4872694,4873264,571
G000955875,4875843,4877415,1573
G000965255,0,563,564
G000967475,6216222,6216469,248
G000967485,5435556,5436297,742
G000967545,4064621,4065951,1331
G000967545,4066101,4066598,498
G000967705,4714264,4714631,368
G000967725,3558056,3558475,420
G000967745,4787822,4789411,1590
G000968685,8057088,8057378,291
G000972495,1739837,1739969,133
G000972495,1740119,1740479,361
G000972495,2264510,2264718,209
G000972625,3917230,3917531,302
G000974745,0,136,137
G000974945,1426149,1427340,1192
G000974945,1433180,1433360,181
G000974945,3771743,3772855,1113
G000974945,3774535,3775122,588
G000978665,676065,676269,205
G000980885,3666614,3666727,114
G000980975,4145386,4145502,117
G000986855,4666672,4668508,1837
G000986855,4670889,4674382,3494
G000988585,3500146,3500566,421
G001005575,206610,207282,673
G001005575,219000,219794,795
G001005575,716581,717100,520
G001005575,1153248,1153622,375
G001005575,1901158,1901931,774
G001005605,493000,495130,2131
G001005625,1692564,1692774,211
G001005625,1995377,1995480,104
G001005625,2967640,2967879,240
G001005765,4381176,4382970,1795
G001006285,466124,467454,1331
G001006285,1262671,1262950,280
G001006285,2462217,2462963,747
G001007525,1470122,1470647,526
G001007525,1810100,1810435,336
G001007525,4179379,4179658,280
G001007545,2552575,2553319,745
G001007545,2555049,2555490,442
G001007545,3320517,3320677,161
G001007545,3321635,3321850,216
G001007545,3322000,3322123,124
G001007545,3323000,3323136,137
G001007555,4701480,4701616,137
G001007555,5018819,5018921,103
G001008825,1179490,1179754,265
G001008915,1598128,1598392,265
G001014795,1296154,1296367,214
G001014795,1296732,1296999,268
G001020225,83,510,428
G001020225,1251,1872,622
G001020225,2500219,2500721,503
G001020225,7204126,7204907,782
G001020225,7205205,7205602,398
G001027945,2688867,2689776,910
G001027945,2691813,2691949,137
G001028765,7424471,7426692,2222
G001028765,7429501,7430822,1322
G001029935,2145874,2145999,126
G001035285,241706,242675,970
G001035285,244634,244999,366
G001035285,910000,910444,445
G001035285,1607874,1608148,275
