fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese	Transcript_pese
TCGA-09-0364-01A-02R-1564-13_rnaseq.	117452	50764	9058	6642	6412
TCGA-09-0366-01A-01R-1564-13_GRCh37-lite_rnaseq.	117458	168118	163184	83028	80850
TCGA-09-0366-01A-01R-1564-13_rnaseq.	117458	222810	201986	108950	106342
TCGA-09-0367-01A-01R-1564-13_GRCh37-lite_rnaseq.	117455	208606	17866	16560	16446
TCGA-09-0367-01A-01R-1564-13_rnaseq.	117455	342104	35828	33276	33086
TCGA-09-0369-01A-01R-1564-13_GRCh37-lite_rnaseq.	117457	2684	2002	1610	1566
TCGA-09-0369-01A-01R-1564-13_rnaseq.	117457	15352	11380	9346	9100
TCGA-09-1659-01B-01R-1564-13_GRCh37-lite_rnaseq.	117457	4013468	1024192	524452	508128
TCGA-09-1659-01B-01R-1564-13_rnaseq.	117457	830588	188716	97946	94852
TCGA-09-1661-01B-01R-1566-13_GRCh37-lite_rnaseq.	117434	489772	202580	197232	196148
TCGA-09-1661-01B-01R-1566-13_rnaseq.	117435	489906	202684	197244	196152
TCGA-09-1662-01A-01R-1566-13_GRCh37-lite_rnaseq.	117457	167984	110728	98786	97026
TCGA-09-1662-01A-01R-1566-13_rnaseq.	117457	168152	110878	98794	97030
TCGA-09-1665-01B-01R-1566-13_GRCh37-lite_rnaseq.	117458	15874	9664	8318	8022
TCGA-09-1665-01B-01R-1566-13_rnaseq.	117458	124522	74632	64748	62320
TCGA-09-1666-01A-01R-1566-13_GRCh37-lite_rnaseq.	117449	64074	16108	14946	14756
TCGA-09-1666-01A-01R-1566-13_rnaseq.	117449	129866	34042	31516	31160
TCGA-09-1667-01C-01R-1566-13_GRCh37-lite_rnaseq.	117449	71538	13412	8854	8612
TCGA-09-1667-01C-01R-1566-13_rnaseq.	117449	149962	27958	18402	17908
TCGA-09-1668-01B-01R-1566-13_GRCh37-lite_rnaseq.	117452	8334	5064	3418	3304
TCGA-09-1668-01B-01R-1566-13_rnaseq.	117452	25556	15032	10170	9768
TCGA-09-1669-01A-01R-1566-13_GRCh37-lite_rnaseq.	117452	685466	238680	195106	193462
TCGA-09-1669-01A-01R-1566-13_rnaseq.	117452	686388	239474	195166	193514
TCGA-09-1670-01A-01R-1566-13_GRCh37-lite_rnaseq.	117455	173266	148170	137046	136040
TCGA-09-1670-01A-01R-1566-13_rnaseq.	117455	173476	148364	137044	136042
TCGA-09-1673-01A-01R-1566-13_GRCh37-lite_rnaseq.	117452	119480	56028	40224	38512
TCGA-09-1673-01A-01R-1566-13_rnaseq.	117452	24714	11876	9318	9006
TCGA-09-1674-01A-01R-1566-13_GRCh37-lite_rnaseq.	117458	133630	69844	51570	47650
TCGA-09-1674-01A-01R-1566-13_rnaseq.	117458	133828	70024	51564	47656
TCGA-09-2044-01B-01R-1568-13_GRCh37-lite_rnaseq.	117455	35656	13942	11014	10540
TCGA-09-2044-01B-01R-1568-13_rnaseq.	117455	135706	51634	40554	38678
TCGA-09-2045-01A-01R-1568-13_GRCh37-lite_rnaseq.	117421	63480	32292	15318	14858
TCGA-09-2045-01A-01R-1568-13_rnaseq.	117421	134632	57486	27932	27088
TCGA-09-2048-01A-01R-1568-13_GRCh37-lite_rnaseq.	117455	153312	87712	79544	78036
TCGA-09-2048-01A-01R-1568-13_rnaseq.	117455	96882	55736	50610	49714
TCGA-09-2051-01A-01R-1568-13_GRCh37-lite_rnaseq.	117457	10590	8560	5234	4774
TCGA-09-2051-01A-01R-1568-13_rnaseq.	117457	100772	81438	49014	44558
