fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese
TCGA-CG-4462-01A-01D-1154_130815_VM001_0004_VMR0004CXX_s_7_rg.sorted.filtered	115207	497652	65658	25188
TCGA-CG-4466-10A-01D-1154_130815_VM001_0005_VMR0005CXX_s_5_rg.sorted.filtered	115207	606384	83772	35084
TCGA-CG-4477-10A-01D-1154_130815_VM001_0007_VMR0007CXX_s_3_rg.sorted.filtered	115207	690960	92828	56880
TCGA-CM-4744-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	11035870	9736174	8855538
TCGA-CM-4744-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3908872	2979668	2677718
TCGA-CM-4746-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	11228114	9622110	8691104
TCGA-CN-4730-10A-01D-1431_120513_SN590_0157_AD0PU3ACXX_s_6_rg.sorted.filtered	115207	1434960	883412	633694
TCGA-CS-4938-10A-01D-1891_130912_SN590_0237_AC292LACXX_s_1_rg.sorted.filtered	115207	290224	24646	1818
TCGA-CV-6933-11A-01D-1911_120526_SN208_0303_BD12PWACXX_s_1_rg.sorted.filtered	115207	1049386	629824	453228
TCGA-CV-6938-11A-01D-1911_120526_SN208_0303_BD12PWACXX_s_2_rg.sorted.filtered	115207	1189544	764156	610164
TCGA-CV-6952-11A-01D-1911_120526_SN208_0303_BD12PWACXX_s_5_rg.sorted.filtered	115207	933610	618404	487816
TCGA-CV-6954-11A-01D-1911_120526_SN208_0303_BD12PWACXX_s_7_rg.sorted.filtered	115207	1406642	851550	663002
TCGA-CV-7183-10A-01D-2317_120710_SN590_0166_AC0VNFACXX_s_1_rg.sorted.filtered	115207	704372	454834	355316
TCGA-D9-A1X3-10A-01D-A190_120718_SN208_0415_AC116EACXX_s_5_rg.sorted.filtered	115207	1168002	683562	565188
TCGA-DB-5280-10A-01D-1465_130808_SN208_0488_BC294YACXX_s_4_rg.sorted.filtered	115207	637288	77484	22430
TCGA-DK-A2I1-10A-01D-A17R_120927_SN208_0433_BD1D5JACXX_s_2_rg.sorted.filtered	115207	1500610	1094458	901362
TCGA-DU-6542-10A-01D-1891_130912_SN590_0237_AC292LACXX_s_2_rg.sorted.filtered	115207	335450	85338	49892
